,Vina,SD vina
1,-3.9737,0.2542
2,-6.0157,0.3474
3,-4.6056,0.2553
4,-5.1776,0.2329
5,-4.4024,0.1381
6,-6.1805,0.1810
7,-4.458,0.0998
8,-4.9457,0.1625
9,-6.9559,0.1712
10,-6.4256,0.3241
11,-4.5773,0.2516
12,-6.4619,0.1167
13,-6.2257,0.1355
14,-3.7821,0.2567
15,-4.1653,0.1017
16,-6.059,0.2996
17,-3.7525,0.1692
18,-4.143,0.1644
19,-4.143,0.1644
20,-4.474,0.2624
21,-5.1801,0.1125
22,-4.2513,0.1526
23,-4.1938,0.1572
24,-5.3045,0.1886
25,-5.3483,0.2020
26,-4.8134,0.1227
27,-6.02284,0.4326
28,-4.3295,0.1787
29,-4.132,0.0354
30,-4.3953,0.1149
31,-4.3821,0.1841
32,-5.6797,0.1817
33,-4.1183,0.0829
34,-4.0992,0.3250
35,-4.7666,0.1397
36,-4.5422,0.1558
37,-4.4953,0.1722
38,-4.8701,0.1864
39,-4.2643,0.2249
40,-3.9198,0.1338
41,-6.1077,0.1178
42,-4.5014,0.2937
43,-5.7953,0.2372
44,-6.5151,0.3092
45,-6.0422,0.2821
46,-6.3256,0.4021
47,-6.244,0.3291
48,-5.5947,0.2153
49,-4.3654,0.3330
50,-6.299,0.1855
51,-6.397,0.2553
52,-4.7626,0.1431
53,-4.2027,0.2908
54,-4.4841,0.2528
55,-6.8265,0.3258
56,-6.1224,0.2786
57,-5.3743,0.3391
58,-6.3117,0.1421
59,-5.8268,0.1864
60,-5.1289,0.1901
61,-5.5459,0.2865
62,-6.3374,0.2328
63,-5.0271,0.1415
64,-5.2671,0.2663
65,-6.3958,0.1433
66,-6.1105,0.2639
67,-5.8271,0.2340
68,-5.3192,0.1382
69,-6.0628,0.2421
70,-6.0124,0.2199
71,-6.1142,0.2756
72,-5.8991,0.2385
73,-4.6741,0.2741
74,-5.2486,0.2312
75,-5.9432,0.2419
76,-6.0643,0.1130
77,-4.5754,0.2074
78,-3.9994,0.2414
79,-4.5963,0.3061
80,-4.7422,0.1966
81,-4.7004,0.2575
82,-4.5178,0.1237
83,-4.4309,0.1586
84,-5.6786,0.1043
85,-6.1776,0.1925
86,-4.6765,0.3712
87,-6.1887,0.1446
88,-6.3473,0.3329
